_id,mac,Accel_x,Accel_y,Accel_z,Gyro_x,Gyro_y,Gyro_z,Timestamp,updated_at,created_at,__v,Timestamp_local,Timestamp_vn,acc_norm,gyro_norm
44ef9fda5a14a63dfba92444,ffff00000000,3.44,0.13,-8.99,-1.5,16.79,0.9,2025-08-15 00:00:00.000000+00:00,2025-08-15T00:00:00.000Z,2025-08-15 00:00:00.000000+00:00,0,2025-08-15 07:00:00.000000+07:00,2025-08-15 07:00:00.000000,9.63,16.88
c9cc4dd329651b4d47c1753a,ffff00000000,4.93,0.33,-7.98,-0.35,-0.69,28.33,2025-08-15 00:00:01.000000+00:00,2025-08-15T00:00:01.000Z,2025-08-15 00:00:01.000000+00:00,0,2025-08-15 07:00:01.000000+07:00,2025-08-15 07:00:01.000000,9.39,28.34
18a556f0b0eb97679de16c49,ffff00000000,2.62,-0.22,-9.58,64.99,-0.67,0.88,2025-08-15 00:00:02.000000+00:00,2025-08-15T00:00:02.000Z,2025-08-15 00:00:02.000000+00:00,0,2025-08-15 07:00:02.000000+07:00,2025-08-15 07:00:02.000000,9.93,65.0
766b4e9c5e012adfa3f5ad1a,ffff00000000,0.32,0.66,-8.62,-0.87,14.78,0.35,2025-08-15 00:00:03.000000+00:00,2025-08-15T00:00:03.000Z,2025-08-15 00:00:03.000000+00:00,0,2025-08-15 07:00:03.000000+07:00,2025-08-15 07:00:03.000000,8.65,14.81
3f1403e1cccf6e5edb8be5bd,ffff00000000,2.82,0.45,-10.61,-0.3,20.94,1.11,2025-08-15 00:00:04.000000+00:00,2025-08-15T00:00:04.000Z,2025-08-15 00:00:04.000000+00:00,0,2025-08-15 07:00:04.000000+07:00,2025-08-15 07:00:04.000000,10.99,20.97
b6b260052602fdd34ae42be7,ffff00000000,2.15,0.28,-10.49,14.06,-0.39,1.14,2025-08-15 00:00:05.000000+00:00,2025-08-15T00:00:05.000Z,2025-08-15 00:00:05.000000+00:00,0,2025-08-15 07:00:05.000000+07:00,2025-08-15 07:00:05.000000,10.71,14.11
14b2a5d0232a04060d63b85a,ffff00000000,0.95,0.74,-10.06,25.5,-1.4,-0.39,2025-08-15 00:00:06.000000+00:00,2025-08-15T00:00:06.000Z,2025-08-15 00:00:06.000000+00:00,0,2025-08-15 07:00:06.000000+07:00,2025-08-15 07:00:06.000000,10.13,25.54
77568f5424bf47baaf11af01,ffff00000000,0.85,0.64,-8.86,-0.44,47.5,-2.37,2025-08-15 00:00:07.000000+00:00,2025-08-15T00:00:07.000Z,2025-08-15 00:00:07.000000+00:00,0,2025-08-15 07:00:07.000000+07:00,2025-08-15 07:00:07.000000,8.92,47.56
2d5bbdab943ae3ccee48bc0b,ffff00000000,1.65,0.64,-10.56,-1.17,14.05,0.6,2025-08-15 00:00:08.000000+00:00,2025-08-15T00:00:08.000Z,2025-08-15 00:00:08.000000+00:00,0,2025-08-15 07:00:08.000000+07:00,2025-08-15 07:00:08.000000,10.71,14.11
637ede2dce3fe51ff3881452,ffff00000000,-1.26,1.24,-8.32,-1.14,5.6,-1.8,2025-08-15 00:00:09.000000+00:00,2025-08-15T00:00:09.000Z,2025-08-15 00:00:09.000000+00:00,0,2025-08-15 07:00:09.000000+07:00,2025-08-15 07:00:09.000000,8.51,5.99
